DAY,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,11.62,2.3,2.72,0.74,5.17,1.48,2.23,3.41,12.89,5.32,0.52,0.21,0.18,0.05,0.05,4.56,2.95,1.23,1.84,2.23,5.54,4.12,5.19,2.05,0.7,0.09,0.1,1.6,4.14,3.94,0.05,1.89,1.25,4.76,0.37,5.61,2.46,6.04,1.66,27.01
2,7.66,1.18,0.29,2.63,1.35,11.48,3.67,5.07,7.81,1.08,0.15,0.51,0.22,0.11,0.65,8.84,8.19,8.12,1.28,2.23,3.09,1.93,7.14,11.46,0.57,1.49,0.04,0.52,1.43,1.88,0,3.51,0.35,0.3,0.27,0.95,14.79,0.15,1.62,2.65
3,10.69,1.91,1.7,3.93,0.48,3.32,1.53,9.41,3.45,5.19,0.12,0.39,0.28,0.09,0.85,6.27,9.45,5.64,0.91,1.26,13.83,8.67,7.12,7.36,0.64,0.9,0.1,3.2,0.79,0.51,0.01,1.54,0.37,0.23,0.23,1,47.69,0.22,0.76,1.33
4,4.95,4.59,0.12,0.63,1.39,3.34,1.2,6.97,4.47,9.13,0.5,1.02,5.33,0.49,0.59,9.79,16.96,2.71,1.24,3.94,9.81,3.37,5.86,4.05,0.88,0.61,0.1,3.68,1.34,0.78,0.02,0.1,0.11,0.61,0.24,0.24,3.41,1.53,29.49,2.37
5,2.31,1.72,3.87,0.07,1.5,2.67,2.26,6.52,4.72,1.48,0.88,1.79,0.95,0.32,0.1,14.44,9.78,2.83,0.06,2.5,4.51,15.63,7.03,0.89,0.04,3.67,0.27,1.55,2.65,1.25,0.03,1.78,0.16,4.49,1.12,0.1,7.08,4.21,2.49,3.78
6,1.39,1.39,4.07,0.15,2.57,1.95,4.01,2.25,0.45,3.83,0.02,2.79,4.2,4.26,4.61,4.09,0.74,4.21,0.16,4.2,2,0.89,11.68,1.02,1.38,1.1,0.77,14.22,7.03,7.14,0.06,2.87,0.11,8.01,0.44,0.03,4.97,0.69,1.39,2.23
7,1.64,0.52,1.46,5.77,1.53,3.45,0.85,3.75,1.28,4.01,1.68,5.5,2.42,5.05,2.24,2.31,3.13,1.39,0.15,0.07,1.23,7.37,10.33,2.88,1.58,0.21,0.2,13.2,1.24,3.24,0.25,1.07,0.83,0.21,0.16,0.04,0.42,0.57,0.51,0.23
8,0.73,0.42,2.95,11.28,7.33,2.56,0.58,3.37,0.33,2.36,3.76,14.17,10.2,1.36,1.29,0.86,5.59,2.84,0.55,2.61,0.6,3.77,10.33,1.23,2.4,1.19,0.11,3.72,2.12,6.7,0.36,2.49,0.46,0.11,0.29,0.71,4.17,2.9,7.08,0.23
9,0.33,0.26,0.96,2.14,4.57,1.79,5.17,3.64,0,1.09,2.31,1.45,12.6,2.01,2.91,3.87,7.11,15.1,2.84,4.39,0.53,2.51,7,0.27,2.24,1.16,0.31,3.13,1.06,5.36,0.29,1.44,0.05,0.12,0.63,0.26,1.47,0.28,1.66,17.2
10,1.17,0.08,2.73,6.07,9.31,2.52,3.94,0.71,0.01,0.73,1.44,5.43,3.03,1.91,3.41,8.19,10.42,4.28,1.4,1.57,1.48,6.49,24.87,0.27,3.62,0.19,0.69,1.4,10.42,3.5,0.12,1.71,0.26,1.29,0.98,1.27,0.95,0.32,2.29,4.01
11,1.81,0.08,0.78,2.58,2.89,0.42,0.79,0.11,0,0.84,0.19,12.29,3.51,5.37,6.4,4.03,1.45,1.77,0.3,1.7,13.39,1.58,6.79,6.9,6.52,1.34,2.97,0.5,8.25,3.39,1.11,1.04,2.33,2.62,13.9,3.27,2.57,0.82,2.75,7.67
12,3.85,0.69,1.46,2.02,0.16,0.77,0.2,0.32,0,0.51,0.02,12.45,1.6,15.74,11.6,0.84,2.18,11.02,0.08,0.24,3.35,1.99,4.36,34.35,4.2,2.58,2.22,1.85,31.07,1.39,2.82,0.06,0.44,0.75,3.54,0.05,3.36,1.05,1.28,51.69
13,2.42,0.94,6.37,0.06,1.19,0.16,0.31,0.34,0.03,0.99,0.69,13.78,7.53,8.38,5.2,0.71,5.03,11.4,0.46,4.92,0.68,0.23,5.44,11.45,0.57,2.03,3.08,0.4,33.24,2.73,3.32,0.06,0.23,0.35,2.47,0.03,3,0.06,2.7,9.27
14,0.83,0.3,1.2,0.34,3.22,0.92,0.88,1.41,0.01,1.72,1.28,5.49,0.63,2.91,3.48,0.69,6.42,2.57,0.46,6.63,0.42,0,7.7,1.63,1.51,5.58,5.72,0.07,3.63,2.45,0.56,0.01,0.59,0.26,7.26,0.1,2.7,0.32,0.17,8
15,7.45,0.32,1.7,0.03,0.93,2.35,3.71,1.53,0,0.13,1.42,2.54,3.09,3.78,2.71,0.66,5.79,9.97,0.23,6.67,2.34,0,1.56,6.72,4.44,1.24,1.67,0.06,2.15,2.63,3.37,0,0.67,0.1,1.41,4.66,9.63,4.01,0.39,5.5
16,3.93,0.07,1.66,0.01,1.35,6.36,2.64,1.13,0.05,0.81,1.35,3.37,1.2,0.27,0.9,0.76,3.58,4.23,0.17,2.81,0.04,0.59,7.58,0.26,2.95,3.49,3.63,3.39,0.09,2.06,0.27,1,0.79,0.17,9.84,1.06,4.24,2.38,0.67,3.07
17,3.72,0.13,0.37,3.72,2.02,4.56,2.59,1.7,0.18,2.99,1.6,1.84,1.37,0.03,0.47,1.73,5.62,5.7,0.01,1.97,0.4,6.42,0.7,0.13,1.04,1.59,5.03,2.78,0.44,1.05,0.15,1.4,0.43,0.04,8.55,0.18,1.07,1.77,5.93,1.84
18,2.17,0.04,1.74,4.6,2.44,0.8,1.79,1.74,0.09,0.35,1.58,0.96,0.85,0,2.96,3.72,5.3,1.98,1.79,12.85,1.67,4.44,0.69,0.12,0.75,8.71,4.82,2.06,0.25,1.15,0.17,0.59,0.91,0.41,2.58,0.21,0.53,6.58,2.49,1.63
19,3.08,0.07,0.71,1.51,2.41,3.55,1.45,0.74,0.1,0.08,0.12,1.22,0.5,0,0.9,4.44,2.71,4.14,5.65,5.43,5.41,15.18,3.79,0.01,0.49,18.11,2.76,6.21,0.31,1.85,0.34,1.04,0.78,0.21,4.65,0.14,1.45,6.78,8.94,6.48
20,1.37,0.38,1.29,0.31,1.19,3.57,5.22,0.97,0.82,0.4,0.3,3.26,1.07,0,0.22,1.4,1.69,1.87,1.01,5.37,0.23,2.48,8.91,0.05,0.76,1.32,3.97,21.38,0.19,1.28,0.49,0.82,0.55,0.1,3.81,0.1,5.48,17.93,0.71,18.96
21,8.58,1.07,4.5,0.13,1.01,2.8,5.42,2.39,3.96,0.12,1.25,2.3,0.05,0,1.5,0.46,0.31,5.5,1.02,1.25,5.02,6.4,4.15,5.92,0.05,1.95,7.5,15.79,2.38,2.21,0.23,0.09,2.42,1.39,0.58,0.7,1.57,13.76,0.17,8.07
22,3.93,2.47,1.3,0.34,2.02,3.55,2.7,1.49,4.76,0.05,0.5,2.01,0.23,0.11,4.17,0.82,0.4,1.29,0.42,2.86,21.72,3.39,6.53,1.5,0.2,2.95,1.33,6.01,1.83,4.03,0.05,0.48,0.5,1.46,3.97,1.79,0.7,0.06,0.11,6.42
23,5.28,1.1,1.94,0.63,1.97,10.35,2.33,0.12,7.23,0.57,0.26,3.74,0.35,0.53,3.33,2.6,0.14,3.39,0.52,2.92,11.62,0.78,11.28,0.17,0,0.86,5.34,2.58,2.64,1.49,0.06,0.21,3.42,1.95,11,1.64,3.16,0.7,15.43,1.27
24,0.64,1.87,2.02,4.01,4.58,5.3,2.64,0.45,5.16,1.52,0.72,2.19,0.46,0.59,2.51,0.83,0.04,0.36,0.92,2.87,2.32,0.88,3.17,5.04,0,1.14,3.22,5.25,2.54,0.92,0.04,0.72,7.19,1.87,0.77,0.52,3.48,2.32,14.44,8.69
25,0.28,3.23,3.7,2.46,2.49,4.38,0.84,1.05,4.59,1.19,1.17,1.1,0.82,0.49,0.73,0.32,0.2,0.23,0.88,0.15,6.78,1.18,1.09,15.25,0,1.54,3.21,2.15,1.31,1.11,0,3.95,1.1,0.67,0.78,0.22,1.52,0.41,1.88,10.03
26,0.02,0.75,0.54,4.46,0.76,4.1,3.41,4.98,0.7,0.7,5.28,0.54,2.25,0.28,1.22,5.93,0.89,0,0.61,1.78,1.25,0.75,0,5.3,0.01,0.69,37.78,0.2,0.03,0.03,0,1.99,2.13,2.31,1.65,1.02,1.03,1.56,4.31,9.45
27,0.12,0.12,2.33,4.87,0.52,5.1,0.89,5.89,0.83,1.77,0.54,4.26,3.65,3.05,2.59,2.88,1.17,0,0,0.42,0.86,5.88,0.02,5.24,0.01,0.27,9.96,1.17,0,0.06,0,4.08,5.92,0.46,1.28,1.68,1.31,0.96,4.94,0.71
28,0.51,0.09,0.88,2.28,0.63,4.42,3.31,0.1,0.64,2.14,0.61,4.02,2.79,2.23,8.41,0.66,2.9,0.05,0,1.01,0.76,0.71,0.05,8.44,0.27,1.43,5.98,1.62,0,0.04,0,7.64,3.08,2.71,0.9,3.32,1.42,1.02,31.91,0.6
29,0.21,0.19,0.62,2.36,0.64,11.93,3.63,2.59,0.8,3.29,0.91,0.4,0.26,0.89,4.21,0.52,2.37,0.15,0,1.45,1.26,1.62,0.11,2.59,0.77,2.95,22.93,5.3,0,0.24,0,2.88,1.85,5.62,0.03,6.07,0.78,2.64,6.7,0.42
30,1,0.05,3.77,1.32,0.26,9.73,0.5,2.06,3.01,2.28,0.19,0.33,0.01,2.43,0.9,0.01,2.1,0.06,0.19,0.13,1.68,0.62,0.11,3.41,2.13,10.61,5.7,1.02,0,0.2,0.02,11.39,1.26,2.81,0,2.98,1.36,3.14,2.95,3.65
31,4.65,0.45,0.49,2.62,2.72,19.12,1.46,1.07,5.9,1.36,0.21,0.12,0.12,0.86,1.19,3.4,1.26,0,0.04,0.19,0.05,0,3.48,1.03,10.17,7.58,0.11,11.22,0.05,2.51,0.01,4.15,0.52,0.13,0.73,7.15,0.12,0.35,3.09,1.87
